mode,overall,alpha,lam,test_loss,test_acc,test_auc
Multitask,True,1.000000,1000,0.503476,0.755900,0.848039
Multitask,True,1.000000,3000,0.501118,0.762000,0.848581
Multitask,True,1.000000,10000,0.484669,0.768500,0.849061
Multitask,True,1.000000,30000,0.514799,0.752100,0.842944
Projection,True,1.000000,300,0.496157,0.764000,0.847691
Unweighted cosine,True,1.000000,300,0.491446,0.768400,0.846146
Weighted cosine,True,1.000000,300,0.502763,0.763900,0.848461
Projection,True,1.000000,1000,0.492117,0.765500,0.850987
Unweighted cosine,True,1.000000,1000,0.508029,0.759400,0.846741
Weighted cosine,True,1.000000,1000,0.523546,0.759800,0.843425
Projection,True,1.000000,3000,0.482454,0.769100,0.850891
Unweighted cosine,True,1.000000,3000,0.486683,0.762700,0.845865
Weighted cosine,True,1.000000,3000,0.512122,0.754000,0.845236
Projection,True,1.000000,10000,0.481522,0.771800,0.855386
Unweighted cosine,True,1.000000,10000,0.513091,0.757500,0.851498
Weighted cosine,True,1.000000,10000,0.495860,0.758100,0.840860
Projection,True,1.000000,30000,0.486047,0.765700,0.850811
Unweighted cosine,True,1.000000,30000,0.503010,0.757500,0.840975
Weighted cosine,True,1.000000,30000,0.491949,0.764200,0.845993
Projection,False,1.000000,300,0.494709,0.768100,0.848344
Parameter-wise,False,1.000000,300,0.507457,0.758900,0.839995
Projection,False,1.000000,1000,0.498266,0.765800,0.849651
Parameter-wise,False,1.000000,1000,0.522838,0.752600,0.844410
Projection,False,1.000000,3000,0.490234,0.767100,0.848682
Parameter-wise,False,1.000000,3000,0.513254,0.758100,0.844007
Projection,False,1.000000,10000,0.500517,0.759400,0.850563
Parameter-wise,False,1.000000,10000,0.509304,0.756700,0.848237
Projection,False,1.000000,30000,0.487233,0.769500,0.849773
Parameter-wise,False,1.000000,30000,0.519477,0.749800,0.849042
Projection,True,0.010000,300,0.517066,0.753700,0.844934
Projection,True,0.100000,300,0.500265,0.762600,0.849428
Projection,True,0.010000,1000,0.499929,0.760600,0.848135
Projection,True,0.100000,1000,0.524960,0.753200,0.848623
Projection,True,0.010000,3000,0.513528,0.756100,0.845523
Projection,True,0.100000,3000,0.516118,0.754800,0.849264
Projection,True,0.010000,10000,0.511161,0.757500,0.843888
Projection,True,0.100000,10000,0.503503,0.759800,0.850259
Projection,True,0.010000,30000,0.517266,0.752200,0.845521
Projection,True,0.100000,30000,0.483486,0.766400,0.849277
Single task,True,1.000000,0,0.506269,0.758300,0.843598
Multitask,True,1.000000,300,0.491552,0.762600,0.845247
Multitask,True,1.000000,1000,0.503876,0.760200,0.844823
Multitask,True,1.000000,3000,0.498618,0.762900,0.850921
Multitask,True,1.000000,10000,0.489309,0.761600,0.849023
Multitask,True,1.000000,30000,0.529425,0.750200,0.844453
Projection,True,1.000000,300,0.489431,0.763500,0.847835
Unweighted cosine,True,1.000000,300,0.507487,0.758900,0.843758
Weighted cosine,True,1.000000,300,0.496817,0.762600,0.844465
Projection,True,1.000000,1000,0.500761,0.759800,0.846625
Unweighted cosine,True,1.000000,1000,0.488015,0.765500,0.847370
Weighted cosine,True,1.000000,1000,0.506403,0.753400,0.844838
Projection,True,1.000000,3000,0.496661,0.764300,0.842727
Unweighted cosine,True,1.000000,3000,0.498894,0.764600,0.848573
Weighted cosine,True,1.000000,3000,0.506579,0.756800,0.839638
Projection,True,1.000000,10000,0.498829,0.762900,0.847890
Unweighted cosine,True,1.000000,10000,0.505055,0.761800,0.846527
Weighted cosine,True,1.000000,10000,0.504179,0.759100,0.844428
Projection,True,1.000000,30000,0.512546,0.751900,0.843605
Unweighted cosine,True,1.000000,30000,0.690907,0.499700,0.679882
Weighted cosine,True,1.000000,30000,0.490632,0.764900,0.846688
Projection,False,1.000000,300,0.492067,0.765000,0.846625
Parameter-wise,False,1.000000,300,0.493139,0.765300,0.845854
Projection,False,1.000000,1000,0.489425,0.770100,0.848900
Parameter-wise,False,1.000000,1000,0.512175,0.754900,0.846429
Projection,False,1.000000,3000,0.516965,0.756300,0.850729
Parameter-wise,False,1.000000,3000,0.499055,0.765400,0.843924
Projection,False,1.000000,10000,0.523407,0.753200,0.849302
Parameter-wise,False,1.000000,10000,0.510359,0.756400,0.842969
Projection,False,1.000000,30000,0.505376,0.756700,0.847577
Parameter-wise,False,1.000000,30000,0.525287,0.747000,0.842593
Projection,True,0.010000,300,0.506935,0.759600,0.849252
Projection,True,0.100000,300,0.513886,0.754400,0.846241
Projection,True,0.010000,1000,0.505135,0.757000,0.847787
Projection,True,0.100000,1000,0.495188,0.761800,0.848788
Projection,True,0.010000,3000,0.498281,0.761800,0.848858
Projection,True,0.100000,3000,0.503112,0.766800,0.848253
Projection,True,0.010000,10000,0.504695,0.761700,0.852064
Projection,True,0.100000,10000,0.502407,0.764700,0.847914
Projection,True,0.010000,30000,0.510547,0.758500,0.842904
Projection,True,0.100000,30000,0.495288,0.767400,0.846650
Single task,True,1.000000,0,0.509981,0.753500,0.843723
Multitask,True,1.000000,300,0.499779,0.761700,0.846959
Multitask,True,1.000000,1000,0.493903,0.764800,0.847874
Multitask,True,1.000000,3000,0.497106,0.765700,0.846904
Multitask,True,1.000000,10000,0.496760,0.761000,0.844611
Multitask,True,1.000000,30000,0.506995,0.758000,0.843307
Projection,True,1.000000,300,0.489747,0.765800,0.847381
Unweighted cosine,True,1.000000,300,0.512732,0.755000,0.843633
Weighted cosine,True,1.000000,300,0.515037,0.755100,0.841133
Projection,True,1.000000,1000,0.500445,0.761700,0.847438
Unweighted cosine,True,1.000000,1000,0.492755,0.761600,0.845755
Weighted cosine,True,1.000000,1000,0.499179,0.758100,0.847401
Projection,True,1.000000,3000,0.490796,0.766700,0.846660
Unweighted cosine,True,1.000000,3000,0.493718,0.765200,0.847801
Weighted cosine,True,1.000000,3000,0.498997,0.760800,0.846441
Projection,True,1.000000,10000,0.513818,0.758400,0.849976
Unweighted cosine,True,1.000000,10000,0.493080,0.764400,0.852398
Weighted cosine,True,1.000000,10000,0.499785,0.762400,0.841182
Projection,True,1.000000,30000,0.498235,0.763100,0.846682
Unweighted cosine,True,1.000000,30000,0.513546,0.756700,0.847834
Weighted cosine,True,1.000000,30000,0.491030,0.766200,0.847263
Projection,False,1.000000,300,0.505688,0.755800,0.843172
Parameter-wise,False,1.000000,300,0.502319,0.759300,0.846669
Projection,False,1.000000,1000,0.489272,0.764800,0.849675
Parameter-wise,False,1.000000,1000,0.498029,0.759600,0.845976
Projection,False,1.000000,3000,0.490928,0.764100,0.850403
Parameter-wise,False,1.000000,3000,0.510374,0.753200,0.846091
Projection,False,1.000000,10000,0.501020,0.761500,0.850231
Parameter-wise,False,1.000000,10000,0.509618,0.758600,0.845095
Projection,False,1.000000,30000,0.506237,0.759900,0.850948
Parameter-wise,False,1.000000,30000,0.512204,0.752000,0.844912
Projection,True,0.010000,300,0.518774,0.755200,0.848161
Projection,True,0.100000,300,0.516094,0.759100,0.845151
Projection,True,0.010000,1000,0.529284,0.749200,0.844034
Projection,True,0.100000,1000,0.506561,0.757700,0.842808
Projection,True,0.010000,3000,0.521204,0.754300,0.847019
Projection,True,0.100000,3000,0.540581,0.742600,0.843487
Projection,True,0.010000,10000,0.512130,0.756700,0.847475
Projection,True,0.100000,10000,0.509911,0.754100,0.847799
Projection,True,0.010000,30000,0.501391,0.758900,0.849195
Projection,True,0.100000,30000,0.481477,0.769600,0.849171
